,Número REDS,Qtde Veículos,Natureza Principal Completa,Ano Fato,Mês Fato Resumido,Mês Numérico Fato,Data Fato,Dia da Semana Fato,Horário Fato,Faixa 1 Hora Fato,Faixa 6 Horas Fato,Tipo Veículo,Alvo Corrigido,Situação Veículo,Causa Presumida,Descrição Meio Utilizado,Descrição Grupo Local Imediato,Descrição Local Imediato,Logradouro Ocorrência - Tipo,Bairro,Bairro Não Cadastrado,Bairro - FATO FINAL,Bairro - FATO FINAL - Municipio ,Município,Município - Código,UF - Sigla,RISP ,RMBH
93,2015-000079420-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,02/01/2015,SEXTA-FEIRA,00:30:00,De 00:00 as 00:59,De 00:00 as 05:59,AUTOMOVEL,Veículos,FURTADO,OUTRAS MOTIVACOES/CAUSAS ,OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO),VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,FRANCISCO BERNARDINO,,FRANCISCO BERNARDINO,"FRANCISCO BERNARDINO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
132,2015-000119317-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,02/01/2015,SEXTA-FEIRA,20:30:00,De 20:00 as 20:59,De 18:00 as 23:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,CONHECIMENTO TECNICO ESPECIFICO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,CIDADE DO SOL,,CIDADE DO SOL,"CIDADE DO SOL, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
238,2015-000198015-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,04/01/2015,DOMINGO,10:00:00,De 10:00 as 10:59,De 06:00 as 11:59,AUTOMOVEL,Veículos,FURTADO,IGNORADO,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,AVENIDA,ALTO DOS PASSOS,,ALTO DOS PASSOS,"ALTO DOS PASSOS, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
256,2015-000218977-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,04/01/2015,DOMINGO,16:00:00,De 16:00 as 16:59,De 12:00 as 17:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,ARROMBAMENTO/ROMPIMENTO DE OBSTACULO,RESIDENCIA UNIFAMILIAR URBANA,CASA,RUA,QUINTA DAS AVENIDAS,QUINTA DAS AVENIDAS,QUINTA DAS AVENIDAS,"QUINTA DAS AVENIDAS, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
270,2015-000237512-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,04/01/2015,DOMINGO,22:30:00,De 22:00 as 22:59,De 18:00 as 23:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,GRAJAU,,GRAJAU,"GRAJAU, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
309,2015-000273033-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,05/01/2015,SEGUNDA-FEIRA,10:40:00,De 10:00 as 10:59,De 06:00 as 11:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO),VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,CENTRO,,CENTRO,"CENTRO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
323,2015-000282623-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,05/01/2015,SEGUNDA-FEIRA,13:30:00,De 13:00 as 13:59,De 12:00 as 17:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,EMBARCACAO AEREA / AQUATICA / TERRESTRE,MOTOCICLETA,RUA,CIDADE DO SOL,,CIDADE DO SOL,"CIDADE DO SOL, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
325,2015-000283630-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,05/01/2015,SEGUNDA-FEIRA,14:17:00,De 14:00 as 14:59,De 12:00 as 17:59,MOTOCICLETA,Veículos,FURTADO,IGNORADO,OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO),VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,FURTADO DE MENEZES,,FURTADO DE MENEZES,"FURTADO DE MENEZES, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
334,2015-000298312-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,05/01/2015,SEGUNDA-FEIRA,16:00:00,De 16:00 as 16:59,De 12:00 as 17:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,EMPREGO DE CHAVE FALSA / MICHA / GAZUA,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,SANTA HELENA,,SANTA HELENA,"SANTA HELENA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
549,2015-000502302-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,08/01/2015,QUINTA-FEIRA,01:00:00,De 01:00 as 01:59,De 00:00 as 05:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO),VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,IPIRANGA,,IPIRANGA,"IPIRANGA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
625,2015-000562359-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,08/01/2015,QUINTA-FEIRA,14:00:00,De 14:00 as 14:59,De 12:00 as 17:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,CENTRO,,CENTRO,"CENTRO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
628,2015-000564869-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,08/01/2015,QUINTA-FEIRA,16:45:00,De 16:00 as 16:59,De 12:00 as 17:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO),VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,INVÁLIDO,SANTA CRUZ,SANTA CRUZ,"SANTA CRUZ, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
704,2015-000641585-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,09/01/2015,SEXTA-FEIRA,00:30:00,De 00:00 as 00:59,De 00:00 as 05:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,CERAMICA,,CERAMICA,"CERAMICA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
737,2015-000667031-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,10/01/2015,SÁBADO,03:00:00,De 03:00 as 03:59,De 00:00 as 05:59,AUTOMOVEL,Veículos,FURTADO,IGNORADO,OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO),VIA DE ACESSO,VIA DE ACESSO PUBLICA,AVENIDA,IPIRANGA,,IPIRANGA,"IPIRANGA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
838,2015-000735409-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,11/01/2015,DOMINGO,08:30:00,De 08:00 as 08:59,De 06:00 as 11:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO),VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,IPIRANGA,,IPIRANGA,"IPIRANGA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
845,2015-000739190-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,11/01/2015,DOMINGO,09:20:00,De 09:00 as 09:59,De 06:00 as 11:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,CONHECIMENTO TECNICO ESPECIFICO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,CENTRO,,CENTRO,"CENTRO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
898,2015-000794604-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,12/01/2015,SEGUNDA-FEIRA,07:00:00,De 07:00 as 07:59,De 06:00 as 11:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,TEIXEIRAS,,TEIXEIRAS,"TEIXEIRAS, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
917,2015-000814663-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,12/01/2015,SEGUNDA-FEIRA,13:00:00,De 13:00 as 13:59,De 12:00 as 17:59,AUTOMOVEL,Veículos,FURTADO,IGNORADO,OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO),EMBARCACAO AEREA / AQUATICA / TERRESTRE,AUTOMOVEL,AVENIDA,IPIRANGA,,IPIRANGA,"IPIRANGA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
928,2015-000824931-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,12/01/2015,SEGUNDA-FEIRA,03:00:00,De 03:00 as 03:59,De 00:00 as 05:59,CAMINHONETE,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,IMOVEL RURAL,SITIO,RUA,CESARIO ALVIM,,CESARIO ALVIM,"CESARIO ALVIM, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
965,2015-000859417-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,12/01/2015,SEGUNDA-FEIRA,19:30:00,De 19:00 as 19:59,De 18:00 as 23:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO),VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,NOVA BENFICA,,NOVA BENFICA,"NOVA BENFICA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
985,2015-000883011-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,12/01/2015,SEGUNDA-FEIRA,23:30:00,De 23:00 as 23:59,De 18:00 as 23:59,AUTOMOVEL,Veículos,FURTADO,IGNORADO,OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO),EMBARCACAO AEREA / AQUATICA / TERRESTRE,AUTOMOVEL,RUA,TEIXEIRAS,,TEIXEIRAS,"TEIXEIRAS, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
1029,2015-000929580-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,13/01/2015,TERÇA-FEIRA,08:00:00,De 08:00 as 08:59,De 06:00 as 11:59,AUTOMOVEL,Veículos,FURTADO,OUTRAS MOTIVACOES/CAUSAS ,OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO),VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,CIDADE DO SOL,,CIDADE DO SOL,"CIDADE DO SOL, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
1034,2015-000937783-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,13/01/2015,TERÇA-FEIRA,18:00:00,De 18:00 as 18:59,De 18:00 as 23:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,EMPREGO DE CHAVE FALSA / MICHA / GAZUA,VIA DE ACESSO,VIA DE ACESSO PUBLICA,AVENIDA,CENTRO,,CENTRO,"CENTRO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
1036,2015-000940460-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,13/01/2015,TERÇA-FEIRA,17:25:00,De 17:00 as 17:59,De 12:00 as 17:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO),VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,SANTA CATARINA,,SANTA CATARINA,"SANTA CATARINA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
1038,2015-000940577-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,13/01/2015,TERÇA-FEIRA,16:00:00,De 16:00 as 16:59,De 12:00 as 17:59,AUTOMOVEL,Veículos,FURTADO,IGNORADO,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,BENFICA,,BENFICA,"BENFICA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
1103,2015-001005957-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,14/01/2015,QUARTA-FEIRA,15:00:00,De 15:00 as 15:59,De 12:00 as 17:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,AVENIDA,BOA VISTA,,BOA VISTA,"BOA VISTA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
1114,2015-001020093-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,14/01/2015,QUARTA-FEIRA,15:00:00,De 15:00 as 15:59,De 12:00 as 17:59,MOTOCICLETA,Veículos,FURTADO,OUTRAS MOTIVACOES/CAUSAS ,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,MONTE CASTELO,,MONTE CASTELO,"MONTE CASTELO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
1139,2015-001048075-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,14/01/2015,QUARTA-FEIRA,23:50:00,De 23:00 as 23:59,De 18:00 as 23:59,MOTOCICLETA,Veículos,FURTADO,ACAO DE GANGUES / FACCOES CRIMINOSAS,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,TEIXEIRAS,,TEIXEIRAS,"TEIXEIRAS, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
1199,2015-001111766-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,15/01/2015,QUINTA-FEIRA,03:00:00,De 03:00 as 03:59,De 00:00 as 05:59,MOTOCICLETA,Veículos,FURTADO,IGNORADO,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,JARDIM NATAL,,JARDIM NATAL,"JARDIM NATAL, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
1296,2015-001214690-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,13/01/2015,TERÇA-FEIRA,18:00:00,De 18:00 as 18:59,De 18:00 as 23:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,ABUSO DE CONFIANCA,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,SANTA LUZIA,,SANTA LUZIA,"SANTA LUZIA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
1344,2015-001240896-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,17/01/2015,SÁBADO,14:40:00,De 14:00 as 14:59,De 12:00 as 17:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,EMPREGO DE CHAVE FALSA / MICHA / GAZUA,VIA DE ACESSO,VIA DE ACESSO PUBLICA,AVENIDA,CENTRO,,CENTRO,"CENTRO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
1427,2015-001308871-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,17/01/2015,SÁBADO,04:00:00,De 04:00 as 04:59,De 00:00 as 05:59,MOTOCICLETA,Veículos,FURTADO,IGNORADO,OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO),VIA DE ACESSO,VIA DE ACESSO PUBLICA,AVENIDA,CENTRO,,CENTRO,"CENTRO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
1431,2015-001313389-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,18/01/2015,DOMINGO,22:00:00,De 22:00 as 22:59,De 18:00 as 23:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,CONHECIMENTO TECNICO ESPECIFICO,EMBARCACAO AEREA / AQUATICA / TERRESTRE,AUTOMOVEL,RUA,MARILANDIA,,MARILANDIA,"MARILANDIA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
1439,2015-001319843-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,18/01/2015,DOMINGO,23:40:00,De 23:00 as 23:59,De 18:00 as 23:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,PARQUE INDEPENDENCIA,,PARQUE INDEPENDENCIA,"PARQUE INDEPENDENCIA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
1453,2015-001326061-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,19/01/2015,SEGUNDA-FEIRA,03:00:00,De 03:00 as 03:59,De 00:00 as 05:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,CENTRO,,CENTRO,"CENTRO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
1458,2015-001330148-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,19/01/2015,SEGUNDA-FEIRA,06:30:00,De 06:00 as 06:59,De 06:00 as 11:59,AUTOMOVEL,Veículos,FURTADO,IGNORADO,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,BARBOSA LAGE,,BARBOSA LAGE,"BARBOSA LAGE, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
1525,2015-001403771-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,19/01/2015,SEGUNDA-FEIRA,17:30:00,De 17:00 as 17:59,De 12:00 as 17:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,IPIRANGA,,IPIRANGA,"IPIRANGA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
1557,2015-001433690-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,14/01/2015,QUARTA-FEIRA,06:00:00,De 06:00 as 06:59,De 06:00 as 11:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO),VIA DE ACESSO,VIA DE ACESSO PUBLICA,ALAMEDA,JUSCELINO KUBITSCHECK,,JUSCELINO KUBITSCHECK,"JUSCELINO KUBITSCHECK, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
1567,2015-001448789-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,20/01/2015,TERÇA-FEIRA,11:00:00,De 11:00 as 11:59,De 06:00 as 11:59,AUTOMOVEL,Veículos,FURTADO,IGNORADO,EMPREGO DE CHAVE FALSA / MICHA / GAZUA,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,JARDIM GLORIA,,JARDIM GLORIA,"JARDIM GLORIA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
1594,2015-001478995-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,20/01/2015,TERÇA-FEIRA,05:00:00,De 05:00 as 05:59,De 00:00 as 05:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,AVENIDA,NOVA ERA,,NOVA ERA,"NOVA ERA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
1621,2015-001498600-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,21/01/2015,QUARTA-FEIRA,01:35:00,De 01:00 as 01:59,De 00:00 as 05:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,JARDIM DOS ALFINEIROS,,JARDIM DOS ALFINEIROS,"JARDIM DOS ALFINEIROS, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
1645,2015-001518776-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,26/01/2015,SEGUNDA-FEIRA,07:30:00,De 07:00 as 07:59,De 06:00 as 11:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,JARDIM DE ALA,,JARDIM DE ALA,"JARDIM DE ALA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
1682,2015-001548876-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,21/01/2015,QUARTA-FEIRA,07:00:00,De 07:00 as 07:59,De 06:00 as 11:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,BOM PASTOR,,BOM PASTOR,"BOM PASTOR, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
1727,2015-001580098-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,21/01/2015,QUARTA-FEIRA,22:57:00,De 22:00 as 22:59,De 18:00 as 23:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,ARROMBAMENTO/ROMPIMENTO DE OBSTACULO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,CENTRO,,CENTRO,"CENTRO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
1792,2015-001637725-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,22/01/2015,QUINTA-FEIRA,08:00:00,De 08:00 as 08:59,De 06:00 as 11:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,ALTO BAIRU,,ALTO BAIRU,"ALTO BAIRU, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
1825,2015-001662469-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,22/01/2015,QUINTA-FEIRA,22:40:00,De 22:00 as 22:59,De 18:00 as 23:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO),VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,MONTE CASTELO,,MONTE CASTELO,"MONTE CASTELO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
1852,2015-001681255-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,23/01/2015,SEXTA-FEIRA,10:00:00,De 10:00 as 10:59,De 06:00 as 11:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,EMPREGO DE CHAVE FALSA / MICHA / GAZUA,EMBARCACAO AEREA / AQUATICA / TERRESTRE,AUTOMOVEL,RUA,CENTRO,,CENTRO,"CENTRO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
1914,2015-001735328-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,23/01/2015,SEXTA-FEIRA,21:30:00,De 21:00 as 21:59,De 18:00 as 23:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,CONHECIMENTO TECNICO ESPECIFICO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,AVENIDA,MANOEL HONORIO,,MANOEL HONORIO,"MANOEL HONORIO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
2353,2015-002081304-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,28/01/2015,QUARTA-FEIRA,11:00:00,De 11:00 as 11:59,De 06:00 as 11:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,CENTRO,,CENTRO,"CENTRO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
2365,2015-002088033-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,28/01/2015,QUARTA-FEIRA,18:30:00,De 18:00 as 18:59,De 18:00 as 23:59,AUTOMOVEL,Veículos,FURTADO,IGNORADO,EMPREGO DE CHAVE FALSA / MICHA / GAZUA,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,PREVIDENCIARIOS,,PREVIDENCIARIOS,"PREVIDENCIARIOS, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
2425,2015-002132430-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,29/01/2015,QUINTA-FEIRA,12:15:00,De 12:00 as 12:59,De 12:00 as 17:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,CENTENARIO,,CENTENARIO,"CENTENARIO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
2483,2015-002197814-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,30/01/2015,SEXTA-FEIRA,08:20:00,De 08:00 as 08:59,De 06:00 as 11:59,AUTOMOVEL,Veículos,FURTADO,IGNORADO,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,NOSSA SENHORA DAS GRACAS,,NOSSA SENHORA DAS GRACAS,"NOSSA SENHORA DAS GRACAS, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
2493,2015-002210568-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,21/01/2015,QUARTA-FEIRA,12:00:00,De 12:00 as 12:59,De 12:00 as 17:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,NOVA ERA,,NOVA ERA,"NOVA ERA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
2559,2015-002277092-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,30/01/2015,SEXTA-FEIRA,23:50:00,De 23:00 as 23:59,De 18:00 as 23:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,AVENIDA,ELDORADO,,ELDORADO,"ELDORADO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
